226,"GOLDEN VIEW RESORT SHARM",4,6,1,4.08,0,1,1,0,0,0,0
227,GOLF,2,5,1,3.55,0,1,0,0,1,0,0
228,"CARINA BEACH RESORT",2,16,3,3.72,0,0,0,0,1,0,0
229,"GRAND HOTEL",4,5,1,4.04,0,1,1,0,0,1,0
230,"GRAND HOTEL SHARM",5,6,1,4.52,1,0,1,0,0,1,0
231,"GRAND MAKADI",5,5,1,4.39,0,1,1,0,0,1,0
232,"GRAND PLAZA HOTEL",4,5,1,4.36,1,1,1,0,1,1,0
233,"GRAND PLAZA RESORT HURGHADA",4,5,1,4.35,1,0,1,0,1,1,0
234,"SHARM GRAND PLAZA RESORT",5,6,1,4.11,1,0,1,0,0,1,0
235,"GRAND RESORT HURGHADA",5,5,1,4.43,1,1,1,0,1,0,0
236,"GRAND ROTANA RESORT & SPA",5,6,1,4.51,0,1,1,0,0,1,1
237,"GRAND SEAS RESORT HOSTMARK",4,5,1,4.01,0,1,1,0,0,1,0
238,"POINCIANA SHARM RESORT (EX. GRAND SHARM RESORT)",4,6,1,3.54,1,0,1,0,1,0,0
239,"HALOMY SHARM VILLAGE",3,6,1,4.08,1,0,0,0,1,0,0
240,"HAPPY LIFE VILLAGE",4,10,1,4.23,0,1,1,0,0,1,0
241,"HARMONY HOTEL & RESORT MAKADI BAY",5,5,1,4.24,0,1,1,0,0,1,0
242,"SEA BREEZE VILLAGE",3,18,3,3.84,0,1,0,0,1,0,0
243,"HELNAN MARINA",4,6,1,4.07,1,0,1,0,1,1,0
244,"SAFIR DAHAB RESORT(EX.DAHAB RESORT)",5,10,1,4.26,0,1,1,0,0,1,0
245,"HILTON SHARM DREAMS RESORT",5,6,1,4.06,1,0,1,0,1,0,0
246,"HILTON FAYROUZ RESORT",4,6,1,4.59,1,0,1,0,1,1,0
247,"HILTON LONG BEACH",4,5,1,4.12,0,1,1,0,0,1,0
248,"CORAL RESORT NUWEIBA (EX. HILTON NUWEIBA CORAL RESORT)",4,12,1,4.32,0,1,0,0,0,1,0
249,"HILTON PLAZA",5,5,1,4.32,0,1,1,1,0,1,0
250,"HILTON RESORT",5,5,1,4.24,0,1,1,0,0,1,0
251,"HILTON SHARKS BAY RESORT",4,6,1,4.3,1,1,1,0,0,1,0
252,"HILTON TABA RESORT & NELSON VILLAGE",5,14,1,4.35,0,1,0,0,0,1,0
253,"HILTON SHARM WATERFALLS",5,6,1,4.22,1,0,1,0,0,1,0
254,"THE THREE CORNERS SEA BEACH RESORT",4,11,1,4.37,0,1,1,0,0,1,0
